timestamp,open,high,low,close,volume
2026-06-30 09:30:00,53.5604,53.6379,53.5604,53.6185,106995
2026-06-30 09:31:00,53.6185,53.6572,53.6088,53.6379,7241
2026-06-30 09:32:00,53.633,53.6572,53.633,53.6572,10569
2026-06-30 09:33:00,53.6572,53.6669,53.6313,53.6669,16418
2026-06-30 09:34:00,53.6621,53.7153,53.6427,53.7153,9715
2026-06-30 09:35:00,53.7153,53.754,53.7153,53.7444,16792
2026-06-30 09:36:00,53.7444,53.7831,53.7395,53.7686,23619
2026-06-30 09:37:00,53.7686,53.7734,53.7298,53.7298,21916
2026-06-30 09:38:00,53.725,53.7444,53.7153,53.7444,10076
2026-06-30 09:39:00,53.7347,53.7589,53.7347,53.7589,1590
2026-06-30 09:40:00,53.7637,53.8266,53.7637,53.8266,12111
2026-06-30 09:41:00,53.8218,53.846,53.8218,53.8412,4865
2026-06-30 09:42:00,53.8315,53.8508,53.8315,53.8508,5303
2026-06-30 09:43:00,53.8508,53.8508,53.8412,53.8412,2698
2026-06-30 09:44:00,53.8508,53.8606,53.8508,53.8605,2914
2026-06-30 09:45:00,53.8799,53.9186,53.8799,53.9041,9097
2026-06-30 09:46:00,53.9089,53.9095,53.8799,53.9089,16777
2026-06-30 09:47:00,53.8944,53.9089,53.8944,53.9089,5848
2026-06-30 09:48:00,53.9089,53.9089,53.8847,53.8944,10992
2026-06-30 09:49:00,53.8944,53.8944,53.8508,53.8605,7637
2026-06-30 09:50:00,53.8654,53.8702,53.8557,53.8557,6220
2026-06-30 09:51:00,53.8557,53.8557,53.8218,53.8315,5055
2026-06-30 09:52:00,53.8412,53.875,53.8412,53.8702,4700
2026-06-30 09:53:00,53.8702,53.9041,53.8508,53.8702,15823
2026-06-30 09:54:00,53.8799,53.8799,53.846,53.846,3767
2026-06-30 09:55:00,53.8412,53.846,53.8229,53.8231,3332
2026-06-30 09:56:00,53.8266,53.8315,53.8024,53.8024,4429
2026-06-30 09:57:00,53.8073,53.8121,53.8024,53.8024,1505
2026-06-30 09:58:00,53.8024,53.8218,53.7976,53.8121,1080
2026-06-30 09:59:00,53.8073,53.8105,53.7734,53.7734,3364
2026-06-30 10:00:00,53.7928,53.9186,53.7928,53.8896,38886
2026-06-30 10:01:00,53.8799,53.8799,53.846,53.846,5386
2026-06-30 10:02:00,53.8508,53.8508,53.7879,53.8024,6159
2026-06-30 10:03:00,53.8024,53.8315,53.7976,53.8266,5693
2026-06-30 10:04:00,53.8315,53.8315,53.8073,53.8121,3456
2026-06-30 10:05:00,53.8218,53.8508,53.7831,53.7922,8660
2026-06-30 10:06:00,53.7831,53.8121,53.7831,53.7928,5741
2026-06-30 10:07:00,53.7734,53.7734,53.7492,53.754,6791
2026-06-30 10:08:00,53.7589,53.7734,53.7395,53.7686,13448
2026-06-30 10:09:00,53.7734,53.7831,53.7589,53.7589,4467
2026-06-30 10:10:00,53.7444,53.754,53.7202,53.7298,14506
2026-06-30 10:11:00,53.7153,53.725,53.7008,53.7105,5831
2026-06-30 10:12:00,53.7153,53.754,53.696,53.7008,12924
2026-06-30 10:13:00,53.696,53.696,53.6766,53.6863,6532
2026-06-30 10:14:00,53.6863,53.696,53.6766,53.6863,14736
2026-06-30 10:15:00,53.6766,53.6766,53.6611,53.6669,4696
2026-06-30 10:16:00,53.6718,53.6718,53.6524,53.6524,7748
2026-06-30 10:17:00,53.6524,53.6621,53.6524,53.6524,2948
2026-06-30 10:18:00,53.6572,53.6621,53.6524,53.6524,2132
2026-06-30 10:19:00,53.6476,53.6476,53.6282,53.6427,4769
2026-06-30 10:20:00,53.6427,53.6427,53.6088,53.6088,4592
2026-06-30 10:21:00,53.604,53.6088,53.5846,53.5895,4414
